"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","High Density","Book Ser"
"Nonconvex Optim. Appl.","Nonconvex Optimization and Its Applications","","Springer, New York.","","N","N","Y"
"Nonlinear Anal.","Nonlinear Analysis. Theory, Methods & Applications. An International Multidisciplinary Journal. Series A: Theory and Methods","","Elsevier Ltd, Oxford.","0362-546X","N","Y","N"
"Nonlinear Anal. Forum","Nonlinear Analysis Forum. An International Journal","","Nonlinear Anal. Forum, Pusan.","1226-7228","N","Y","N"
"Nonlinear Anal. Hybrid Syst.","Nonlinear Analysis. Hybrid Systems. An International Multidisciplinary Journal","","Elsevier, Oxford.","1751-570X","N","Y","N"
"Nonlinear Anal. Model. Control","Lithuanian Association of Nonlinear Analysts (LANA). Nonlinear Analysis. Modelling and Control","","Inst. Math. Inform., Vilnius Univ., Vilnius.","1392-5113","N","N","N"
"Nonlinear Anal. Real World Appl.","Nonlinear Analysis. Real World Applications. An International Multidisciplinary Journal","","Elsevier Ltd, Oxford.","1468-1218","N","Y","N"
"Nonlinear Dyn. Psychol. Life Sci.","Nonlinear Dynamics, Psychology, and Life Sciences","","Soc. Chaos Theory Psychol. Life Sci., Pewaukee, WI.","1090-0578","N","N","N"
"Nonlinear Dyn. Syst. Theory","Nonlinear Dynamics and Systems Theory. An International Journal of Research and Surveys","","InforMath Publ. Group, Kiev.","1562-8353","N","Y","N"
"Nonlinear Dynam.","Nonlinear Dynamics. An International Journal of Nonlinear Dynamics and Chaos in Engineering Systems","","Springer, Dordrecht.","0924-090X","N","N","N"
"Nonlinear Phenom. Complex Syst.","Nonlinear Phenomena in Complex Systems. An Interdisciplinary Journal. Nelineinye Yavleniya v Slozhnykh Sistemakh","","Educ. Upbringing Publ., Minsk.","1561-4085","N","N","N"
"Nonlinear Phys. Sci.","Nonlinear Physical Science","","Springer, Heidelberg.","1867-8440","N","N","Y"
"Nonlinear Stud.","Nonlinear Studies. The International Journal","","I&S Publ., Daytona Beach, FL.","1359-8678","N","Y","N"
"Nonlinear Syst. Complex.","Nonlinear Systems and Complexity","","Springer, Cham.","2195-9994","N","N","Y"
"Nonlinearity","Nonlinearity","","Inst. Phys., Bristol.","0951-7715","N","Y","N"
"Nordic J. Comput.","Nordic Journal of Computing","","Publ. Assoc. Nordic J. Comput., Helsinki.","1236-6064","N","N","N"
"Normat","Normat. Nordisk Matematisk Tidskrift","","NCM/Normat, Goteborg.","0801-3500","N","N","N"
"Not. ISMS","Notices from the ISMS","","Inst. Soc. Math. Sci., Osaka.","","N","N","N"
"Not. S. Afr. Math. Soc.","Notices of the South African Mathematical Society. Mededelings van die Suid-Afrikaanse Wiskundevereniging","","South African Math. Soc., Potchefstroom.","","N","N","N"
"Notas Algebra Anal.","Notas de Algebra y Analisis","Notes on Algebra and Analysis","Univ. Nac. del Sur, Bahia Blanca.","0078-2009","N","N","Y"
"Notas Geom. Topol.","Notas de Geometria y Topologia","Notes on Geometry and Topology","Univ. Nac. del Sur, Bahia Blanca.","0325-8963","N","N","Y"
"Note Mat.","Note di Matematica","","Univ. Salento, Lecce.","1123-2536","N","Y","N"
"Notes and Rec.","Notes and Records. The Royal Society Journal of the History of Science","","Roy. Soc. London, London.","0035-9149","Y","N","N"
"Notes Numer. Fluid Mech. Multidiscip. Des.","Notes on Numerical Fluid Mechanics and Multidisciplinary Design","","Springer, Cham.","","N","N","Y"
"Notices Amer. Math. Soc.","Notices of the American Mathematical Society","","Amer. Math. Soc., Providence, RI.","0002-9920","N","N","N"
"Notre Dame J. Form. Log.","Notre Dame Journal of Formal Logic","","Duke Univ. Press, Durham, NC.","0029-4527","N","Y","N"
"Nous","Nous","","Wiley-Blackwell, Malden, MA.","0029-4624","N","N","N"
"Novi Sad J. Math.","Novi Sad Journal of Mathematics","","Univ. Novi Sad, Dep. Math. Inform., Novi Sad.","1450-5444","N","Y","N"
"NSF-CBMS Regional Conf. Ser. Probab. Statist.","NSF-CBMS Regional Conference Series in Probability and Statistics","","Inst. Math. Statist., Hayward, CA.","","N","N","Y"
"Nuclear Phys. B","Nuclear Physics. B","","Elsevier Sci. B. V., Amsterdam.","0550-3213","N","N","N"
"Nuclear Phys. B Proc. Suppl.","Nuclear Physics B. Proceedings Supplement","","Elsevier, Amsterdam.","0920-5632","N","N","N"
"Numer. Algebra Control Optim.","Numerical Algebra, Control and Optimization","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","2155-3289","N","N","N"
"Numer. Algorithms","Numerical Algorithms","","Springer, Secaucus, NJ.","1017-1398","N","Y","N"
"Numer. Funct. Anal. Optim.","Numerical Functional Analysis and Optimization. An International Journal","","Taylor & Francis, Philadelphia, PA.","0163-0563","N","Y","N"
"Numer. Linear Algebra Appl.","Numerical Linear Algebra with Applications","","Wiley, Chichester.","1070-5325","N","Y","N"
"Numer. Math.","Numerische Mathematik","","Springer, Heidelberg.","0029-599X","N","Y","N"
"Numer. Math. J. Chinese Univ.","Numerical Mathematics. A Journal of Chinese Universities. Gaodeng Xuexiao Jisuan Shuxue Xuebao","","Numer. Math. J. Chinese Univ., Editor. Dept., Nanjing.","1000-081X","N","Y","N"
"Numer. Math. Sci. Comput.","Numerical Mathematics and Scientific Computation","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Numer. Math. Theory Methods Appl.","Numerical Mathematics. Theory, Methods and Applications","","Glob. Sci. Pr., Hong Kong.","1004-8979","N","Y","N"
"Numer. Methods Partial Differential Equations","Numerical Methods for Partial Differential Equations. An International Journal","","Wiley, Hoboken, NJ.","0749-159X","N","Y","N"
"NYJM Monogr.","New York Journal of Mathematics. NYJM Monographs","","SUNY, Univ. at Albany, Albany, NY.","","N","N","Y"
"Oberwolfach Rep.","Oberwolfach Reports","","Eur. Math. Soc., Zurich.","1660-8933","N","N","N"
"Oberwolfach Semin.","Oberwolfach Seminars","","Birkhauser Verlag, Basel.","","N","N","Y"
"Obzornik Mat. Fiz.","Drustvo Matematikov, Fizikov in Astronomov Slovenije. Obzornik za Matematiko in Fiziko. Izdaja","","Drustvo Mat. Fiz. Astronom. Slovenije, Ljubljana.","0473-7466","N","N","N"
"Ocean Eng. Oceanogr.","Ocean Engineering & Oceanography","","Springer, Heidelberg.","2194-6396","N","N","Y"
"Online J. Anal. Comb.","Online Journal of Analytic Combinatorics","","Online J. Anal. Comb., Rochester, NY.","1931-3365","N","Y","N"
"Ontos Math. Log.","Ontos Mathematical Logic","","De Gruyter, Berlin.","2198-2341","N","N","Y"
"Open Bioinform. J.","Open Bioinformatics Journal","","Bentham Sci. Publ., Oak Park, IL.","1875-0362","N","N","N"
"Open Book Ser.","The Open Book Series","","Math. Sci. Publ., Berkeley, CA.","","Y","N","Y"
"Open Cybern. Syst. J.","Open Cybernetics and Systemics Journal","","Bentham Sci. Publ., Oak Park, IL.","1874-110X","N","N","N"
"Open Math.","Open Mathematics","","De Gruyter Open, Berlin.","2391-5455","Y","Y","N"
"Open Math. J.","Open Mathematics Journal","","Bentham Sci. Publ., Oak Park, IL.","1874-1177","N","Y","N"
"Open Numer. Methods J.","Open Numerical Methods Journal","","Bentham Sci. Publ., Oak Park, IL.","1876-3898","N","N","N"
"Open Syst. Inf. Dyn.","Open Systems & Information Dynamics","","World Sci. Publ., Singapore.","1230-1612","N","N","N"
"Oper. Matrices","Operators and Matrices","","ELEMENT, Zagreb.","1846-3886","N","Y","N"
"Oper. Res.","Operations Research","","INFORMS, Catonsville, MD.","0030-364X","N","N","N"
"Oper. Res. Decis.","Operations Research and Decisions","","Wroclaw Univ. Technol., Wroclaw.","2081-8858","N","N","N"
"Oper. Res. Lett.","Operations Research Letters","","Elsevier Sci. B. V., Amsterdam.","0167-6377","N","N","N"
"Oper. Res. Proc.","Operations Research Proceedings","","Springer, Cham.","0721-5924","N","N","Y"
"Oper. Res. Ser.","Operations Research Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Oper. Res. Trans.","Operations Research Transactions. Yunchouxue Xuebao","","Oper. Res. Trans., Editor. Office, Shanghai.","1007-6093","N","N","N"
"Oper. Res./Comput. Sci. Interfaces Ser.","Operations Research/Computer Science Interfaces Series","","Springer, Cham.","1387-666X","N","N","Y"
"Oper. Theory Adv. Appl.","Operator Theory: Advances and Applications","","Birkhauser/Springer, Cham.","0255-0156","N","N","Y"
"Opsearch","Opsearch. Quarterly Journal of the Operational Research Society of India","","Springer India, New Delhi.","0030-3887","N","N","N"
"Optim. Eng.","Optimization and Engineering. International Multidisciplinary Journal to Promote Optimization Theory & Applications in Engineering Sciences","","Springer, Norwell, MA.","1389-4420","N","N","N"
"Optim. Lett.","Optimization Letters","","Springer, Berlin.","1862-4472","N","Y","N"
"Optim. Methods Softw.","Optimization Methods & Software","","Taylor & Francis, Abingdon.","1055-6788","N","Y","N"
"Optimal Control Appl. Methods","Optimal Control Applications & Methods","","Wiley, Chichester.","0143-2087","N","N","N"
"Optimization","Optimization. A Journal of Mathematical Programming and Operations Research","","Taylor & Francis, Abingdon.","0233-1934","N","Y","N"
"Opuscula Math.","Opuscula Mathematica","","Wydawnictwa AGH, Krakow.","1232-9274","N","Y","N"
"OR Spectrum","OR Spectrum. Quantitative Approaches in Management","","Springer, Heidelberg.","0171-6468","N","N","N"
"Order","Order. A Journal on the Theory of Ordered Sets and its Applications","","Springer, Dordrecht.","0167-8094","N","Y","N"
"Osaka J. Math.","Osaka Journal of Mathematics","","Osaka Univ., Osaka.","0030-6126","N","Y","N"
"Osiris (2)","Osiris. A Research Journal Devoted to the History of Science and its Cultural Influences. Second Series","","Univ. Chicago Press, Chicago, IL.","0369-7827","N","N","N"
"Outst. Contrib. Log.","Outstanding Contributions to Logic","","Springer, Cham.","2211-2758","N","N","Y"
"Oxf. Class. Texts Phys. Sci.","Oxford Classic Texts in the Physical Sciences","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxf. Grad. Texts","Oxford Graduate Texts","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxf. Grad. Texts Math.","Oxford Graduate Texts in Mathematics","","Oxford Univ. Press, New York.","","N","N","Y"
"Oxf. Master Ser. Part. Phys. Astrophys. Cosmol.","Oxford Master Series in Particle Physics, Astrophysics, and Cosmology","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxf. Master Ser. Phys.","Oxford Master Series in Physics","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxf. Philos. Monogr.","Oxford Philosophical Monographs","","Oxford Univ. Press, New York.","","N","N","Y"
"Oxf. Stud. Hist. Theol.","Oxford Studies in Historical Theology","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxf. Stud. Music Theory","Oxford Studies in Music Theory","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxf. Stud. Philos. Sci.","Oxford Studies in Philosophy of Science","","Oxford Univ. Press, New York.","","N","N","Y"
"Oxford Lecture Ser. Math. Appl.","Oxford Lecture Series in Mathematics and its Applications","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxford Logic Guides","Oxford Logic Guides","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxford Math. Monogr.","Oxford Mathematical Monographs","","Oxford Univ. Press, New York.","","N","N","Y"
"Oxford Paperb. Ref.","Oxford Paperback Reference","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Oxford Statist. Sci. Ser.","Oxford Statistical Science Series","","Oxford Univ. Press, New York.","","N","N","Y"
"p-Adic Numbers Ultrametric Anal. Appl.","p-Adic Numbers, Ultrametric Analysis, and Applications","","MAIK Nauka/Interperiod. Publ., Moscow.","2070-0466","N","Y","N"
"PAA Pattern Anal. Appl.","PAA. Pattern Analysis and Applications","","Springer, Godalming.","1433-7541","N","N","N"
"Pac. J. Appl. Math.","Pacific Journal of Applied Mathematics","","Nova Sci. Publ., Hauppauge, NY.","1941-3963","N","Y","N"
"Pac. J. Math. Ind.","Pacific Journal of Mathematics for Industry","","Springer, Berlin.","2198-4115","Y","Y","N"
"Pac. J. Optim.","Pacific Journal of Optimization. An International Journal","","Yokohama Publ., Yokohama.","1348-9151","N","N","N"
"Pacific J. Math.","Pacific Journal of Mathematics","","Pacific J. Math., Berkeley, CA.","0030-8730","N","Y","N"
"Pak. J. Stat. Oper. Res.","Pakistan Journal of Statistics and Operation Research","","Univ. Punjab, Coll. Stat. Actuar. Sci., Lahore.","1816-2711","N","N","N"
"Pakistan J. Statist.","Pakistan Journal of Statistics","","Pakistan J. Statist., Lahore.","1012-9367","N","N","N"
"Palest. J. Math.","Palestine Journal of Mathematics","","Palestine Polytech. Univ., Hebron.","2219-5688","N","N","N"
"Palgrave Adv. Texts Econom.","Palgrave Advanced Texts in Econometrics","","Palgrave Macmillan, New York.","","N","N","Y"
"Palgrave Texts Econom.","Palgrave Texts in Econometrics","","Palgrave Macmillan, New York.","","N","N","Y"
"Pam. Lewis Carroll","The Pamphlets of Lewis Carroll","","Lewis Carroll Soc. North Amer., Silver Spring, MD.","","N","N","Y"
"PanAmer. Math. J.","PanAmerican Mathematical Journal","","Internat. Publ., San Marcos, TX.","1064-9735","N","N","N"
"Panor. Syntheses","Panoramas et Syntheses","Panoramas and Syntheses","Soc. Math. France, Paris.","1272-3835","N","N","Y"
"Parallel Comput.","Parallel Computing. Systems & Applications","","Elsevier, Amsterdam.","0167-8191","N","N","N"
"Parallel Process. Lett.","Parallel Processing Letters","","World Sci. Publ., Singapore.","0129-6264","N","N","N"
"Part. Technol. Ser.","Particle Technology Series","","Springer, Cham.","1567-827X","Y","N","Y"
"Partial. Ordered Syst.","Partially Ordered Systems","","Springer, New York.","0941-5114","N","N","Y"
"Peking Univ. Ser. Math.","Peking University Series in Mathematics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Period. Math. Hungar.","Periodica Mathematica Hungarica. Journal of the Janos Bolyai Mathematical Society","","Akad. Kiado, Budapest.","0031-5303","N","Y","N"
"Perspect. Log.","Perspectives in Logic","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Perspect. Sci.","Perspectives on Science. Historical, Philosophical, Social","","MIT Press, Cambridge, MA.","1063-6145","N","N","N"
"Phaenomenologica","Phaenomenologica","","Springer, Dordrecht.","0079-1350","N","N","Y"
"Philos. Math. (3)","Philosophia Mathematica. Series III","","Oxford Univ. Press, Oxford.","0031-8019","N","Y","N"
"Philos. Perspect.","Philosophical Perspectives. A Supplement to Nous","","Wiley-Blackwell, Malden, MA.","1520-8583","N","N","Y"
"Philos. Sci.","Philosophy of Science","","Univ. Chicago Press, Chicago, IL.","0031-8248","N","N","N"
"Philos. Sci. Eur. Perspect.","The Philosophy of Science in a European Perspective","","Springer, Dordrecht.","","Y","N","Y"
"Philos. Sci. (Paris)","Philosophia Scientiae. Travaux d'Histoire des Sciences et de Philosophie","","Editions Kime, Paris.","1281-2463","N","N","N"
"Philos. Stud.","Philosophical Studies. An International Journal for Philosophy in the Analytic Tradition","","Springer, Dordrecht.","0031-8116","N","N","N"
"Philos. Stud. Ser.","Philosophical Studies Series","","Springer, Cham.","","Y","N","Y"
"Philos. Trans. A","Philosophical Transactions A","","Roy. Soc. London, London.","1364-503X","Y","N","N"
"Phys. A","Physica A. Statistical Mechanics and its Applications","","Elsevier B. V., Amsterdam.","0378-4371","N","N","N"
"Phys. D","Physica D. Nonlinear Phenomena","","Elsevier Sci. B. V., Amsterdam.","0167-2789","N","N","N"
"Phys. Lett. A","Physics Letters. A","","Elsevier B. V., Amsterdam.","0375-9601","N","N","N"
"Phys. Lett. B","Physics Letters. B","","Elsevier B. V., Amsterdam.","0370-2693","N","N","N"
"Phys. Rep.","Physics Reports. A Review Section of Physics Letters","","Elsevier Sci. B. V., Amsterdam.","0370-1573","N","N","N"
"Phys. Rev. A (3)","Physical Review. A. Third Series","","Amer. Phys. Soc., College Park, MD.","1050-2947","N","N","N"
"Phys. Rev. D","Physical Review D. Particles, Fields, Gravitation, and Cosmology","","Amer. Phys. Soc., College Park, MD.","1550-7998","N","N","N"
"Phys. Rev. E (3)","Physical Review E. Statistical, Nonlinear, and Soft Matter Physics","","Amer. Phys. Soc., College Park, MD.","1539-3755","N","N","N"
"Phys. Rev. Lett.","Physical Review Letters","","Amer. Phys. Soc., College Park, MD.","0031-9007","N","N","N"
"Physis Riv. Internaz. Storia Sci. (N.S.)","Physis---Rivista Internazionale di Storia della Scienza. Nuova Serie","","Olschki, Florence.","0031-9414","N","N","N"
"Pi Mu Epsilon J.","Pi Mu Epsilon Journal","","Pi Mu Epsilon Journal, Worcester, MA.","0031-952X","N","N","N"
"Pliska Stud. Math. Bulgar.","Pliska Studia Mathematica Bulgarica","","Bulgarian Acad. Sci., Sofia.","0204-9805","N","Y","N"
"Plovdiv. Univ. Paisii Khilendarski Nauchn. Trud. Mat.","Plovdivski Universitet ``Paisii Khilendarski''. Nauchni Trudove. Matematika","","Plovdiv. Univ. Izdat., Plovdiv.","0204-5249","N","N","N"
"Plumes Sci.","Plumes de Science","","Ed. Pommier, Paris.","","N","N","Y"
"Pol. Contemp. Philos. Philos. Humanit.","Polish Contemporary Philosophy and Philosophical Humanities","","Peter Lang, Frankfurt am Main.","2191-1878","N","N","Y"
"PoliMI SpringerBriefs","PoliMI SpringerBriefs","","Springer, Milan.","2282-2577","N","N","Y"
"Politehn. Univ. Bucharest Sci. Bull. Ser. A Appl. Math. Phys.","``Politehnica'' University of Bucharest. Scientific Bulletin. Series A. Applied Mathematics and Physics","","``Politeh.'' Univ. Buchar., Bucharest.","1223-7027","N","N","N"
"Ponderables","Ponderables","","Shelter Harbor Press, New York.","","N","N","Y"
"Port. Math.","Portugaliae Mathematica. A Journal of the Portuguese Mathematical Society","","Eur. Math. Soc., Zurich.","0032-5155","N","Y","N"
"Positivity","Positivity. An International Mathematics Journal Devoted to Theory and Applications of Positivity","","Birkhauser Verlag, Basel.","1385-1292","N","Y","N"
"Potential Anal.","Potential Analysis. An International Journal Devoted to the Interactions between Potential Theory, Probability Theory, Geometry and Functional Analysis","","Springer, Dordrecht.","0926-2601","N","Y","N"
"Power Electron. Power Syst.","Power Electronics and Power Systems","","Springer, New York.","","N","N","Y"
"Pr. Inst. Mat. Nats. Akad. Nauk Ukr. Mat. Zastos.","Pratsi Institutu Matematiki Natsionalnoi Akademii Nauk Ukraini. Matematika ta ii Zastosuvannya","Proceedings of Institute of Mathematics of NAS of Ukraine. Mathematics and its Applications","Natsional. Akad. Nauk Ukraini, Inst. Mat., Kiev.","","N","N","Y"
"Pr. Nauk. Akad. Jana Dlugosza Czest. Mat.","Prace Naukowe. Akademia im. Jana Dlugosza w Czestochowie. Matematyka. Scientific Issues. Mathematics","","Wydaw. Akad. Jana Dlugosza Czest., Czestochowa.","1896-0286","N","N","N"
"Pract. Econom.","Practical Econometrics","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Pratique R","Pratique R","","Springer, Paris.","2112-8294","N","N","Y"
"Prepr. Dtsch. Mus.","Preprint. Deutsches Museum","","Deutsches Museum, Munich.","2190-8966","N","N","Y"
"Prikl. Gidromekh.","Prikladna Gidromekhanika. Prikladnaya Gidromekhanika. Applied Hydromechanics","","Nats. Akad. Nauk Ukr. Inst. Gidromekh., Kiev.","1561-9087","N","N","N"
"Prikl. Mat. Mekh.","Rossiiskaya Akademiya Nauk. Prikladnaya Matematika i Mekhanika","","``Nauka'', Moscow.","0032-8235","N","N","N"
"Prikl. Mekh.","Natsionalnaya Akademiya Nauk Ukrainy. Institut Mekhaniki im. S. P. Timoshenko. Mezhdunarodnyi Nauchnyi Zhurnal. Prikladnaya Mekhanika. International Applied Mechanics","","Nats. Akad. Nauk Ukrainy, Inst. Mekh. im. S. P. Timoshenko, Kiev.","0032-8243","N","N","N"
"Prikl. Mekh. Tekhn. Fiz.","Rossiiskaya Akademiya Nauk. Sibirskoe Otdelenie. Prikladnaya Mekhanika i Tekhnicheskaya Fizika","","Izdat. Ross. Akad. Nauk Sibirsk. Otdel., Novosibirsk.","0869-5032","N","N","N"
"Pril. Odd. Prir.-Mat. Biotekhnichki Nauki","Prilozi. Oddelenie za Prirodno-Matematichki i Biotekhnichki Nauki. Contributions. Section of Natural, Mathematical and Biotechnical Sciences","","Macedonian Acad. Sci. Arts, Skopje.","1857-9027","N","N","N"
"Princeton Math. Ser.","Princeton Mathematical Series","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Princeton Puzzlers","Princeton Puzzlers","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Princeton Sci. Lib.","Princeton Science Library","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Princeton Ser. Appl. Math.","Princeton Series in Applied Mathematics","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Princeton Ser. Theor. Comput. Biol.","Princeton Series in Theoretical and Computational Biology","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Probab. Appl. (N. Y.)","Probability and its Applications (New York)","","Springer, Cham.","1431-7028","N","N","Y"
"Probab. Engrg. Inform. Sci.","Probability in the Engineering and Informational Sciences","","Cambridge Univ. Press, New York.","0269-9648","N","Y","N"
"Probab. Math. Statist.","Probability and Mathematical Statistics","","Wydawn. Uniw. Wroclaw., Wroclaw.","0208-4147","N","Y","N"
"Probab. St.-Flour","Probability at Saint-Flour","","Springer, Heidelberg.","","N","N","Y"
"Probab. Surv.","Probability Surveys","","Inst. Math. Statist., Beachwood, OH.","1549-5787","N","Y","N"
"Probab. Theory Related Fields","Probability Theory and Related Fields","","Springer, Berlin.","0178-8051","N","Y","N"
"Probab. Theory Stoch. Model.","Probability Theory and Stochastic Modelling","","Springer, Cham.","2199-3130","Y","N","Y"
"Probl. Anal. Issues Anal.","Problemy Analiza. Issues of Analysis","","Petrozavodsk. Gos. Univ., Petrozavodsk.","2306-3424","N","Y","N"
"Probl. Inf. Transm.","Problems of Information Transmission","","Pleiades Publishing, Ltd., Wilmington, DE.","0032-9460","N","N","N"
"Probl. Program.","Problemy Programmirovaniya. Problems in Programming","","Nats. Akad. Nauk Ukrainy, Inst. Program. Sist., Kiev.","1727-4907","N","N","N"
"Problem Books in Math.","Problem Books in Mathematics","","Springer, Cham.","0941-3502","N","N","Y"
"Problemy Peredachi Informatsii","Rossiiskaya Akademiya Nauk. Problemy Peredachi Informatsii","","``Nauka'', Moscow.","0555-2923","N","N","N"
"Problemy Upravlen. Inform.","Natsionalnaya Akademiya Nauk Ukrainy. Problemy Upravleniya i Informatiki","","Nats. Akad. Nauk Ukr. Inst. Kibern. im. V. M. Glushkova, Kiev.","0572-2691","N","N","N"
"Proc. A.","Proceedings A","","Roy. Soc. London, London.","1364-5021","Y","N","N"
"Proc. A. Razmadze Math. Inst.","Proceedings of A. Razmadze Mathematical Institute","","TSU Press, Tbilisi.","1512-0007","N","Y","N"
"Proc. Amer. Math. Soc.","Proceedings of the American Mathematical Society","","Amer. Math. Soc., Providence, RI.","0002-9939","N","Y","N"
"Proc. Amer. Math. Soc. Ser. B","Proceedings of the American Mathematical Society. Series B","","Amer. Math. Soc., Providence, RI.","2330-1511","N","Y","N"
"Proc. Edinb. Math. Soc. (2)","Proceedings of the Edinburgh Mathematical Society. Series II","","Cambridge Univ. Press, Cambridge.","0013-0915","N","Y","N"
"Proc. Est. Acad. Sci.","Proceedings of the Estonian Academy of Sciences","","Est. Acad. Publ., Tallinn.","1736-6046","N","N","N"
"Proc. I. Vekua Inst. Appl. Math.","Proceedings of Ilia Vekua Institute of Applied Mathematics. Trudy Instituta Prikladnoi Matematiki imeni I. N. Vekua","","Tbilisi Univ. Press, Tbilisi.","1512-004X","N","N","N"
"Proc. Indian Acad. Sci. Math. Sci.","Indian Academy of Sciences. Proceedings. Mathematical Sciences","","Indian Acad. Sci., Bangalore.","0253-4142","N","N","N"
"Proc. Indian Nat. Sci. Acad.","Proceedings of the Indian National Science Academy","","Indian Nat. Sci. Acad., New Delhi.","0370-0046","N","N","N"
"Proc. Inst. Math. Mech. Natl. Acad. Sci. Azerb.","Proceedings of Institute of Mathematics and Mechanics. National Academy of Sciences of Azerbaijan","","``Elm'', Baku.","","N","N","N"
"Proc. Inst. Statist. Math.","Proceedings of the Institute of Statistical Mathematics","","Inst. Statist. Math., Tokyo.","0912-6112","N","N","N"
"Proc. Jangjeon Math. Soc.","Proceedings of the Jangjeon Mathematical Society. Memoirs of the Jangjeon Mathematical Society","","Jangjeon Math. Soc., Hapcheon.","1598-7264","N","Y","N"
"Proc. Japan Acad. Ser. A Math. Sci.","Japan Academy. Proceedings. Series A. Mathematical Sciences","","Japan Acad., Tokyo.","0386-2194","N","Y","N"
"Proc. Lond. Math. Soc. (3)","Proceedings of the London Mathematical Society. Third Series","","London Math. Soc., London.","0024-6115","N","Y","N"
"Proc. Nat. Acad. Sci. India Sect. A","Proceedings of the National Academy of Sciences, India. Section A. Physical Sciences","","Nat. Acad. Sci., Allahabad.","0369-8203","N","N","N"
"Proc. Natl. Acad. Sci. USA","Proceedings of the National Academy of Sciences of the United States of America","","Nat. Acad. Sci., Washington, DC.","1091-6490","N","N","N"
"Proc. Pakistan Acad. Sci.","Proceedings of the Pakistan Academy of Sciences","","Pakistan Acad. Sci., Islamabad.","0377-2969","N","N","N"
"Proc. Rom. Acad. Ser. A Math. Phys. Tech. Sci. Inf. Sci.","Proceedings of the Romanian Academy. Series A. Mathematics, Physics, Technical Sciences, Information Science","","Ed. Acad. Romane, Bucharest.","1454-9069","N","N","N"
"Proc. Roy. Soc. Edinburgh Sect. A","Proceedings of the Royal Society of Edinburgh. Section A. Mathematics","","Royal Soc. Edinburgh, Edinburgh.","0308-2105","N","Y","N"
"Proc. Sch. Sci. Tokai Univ.","Proceedings of the School of Science of Tokai University","","Tokai Univ., Kanagawa-ken.","0919-5025","N","N","N"
"Proc. Steklov Inst. Math.","Proceedings of the Steklov Institute of Mathematics","","MAIK Nauka/Interperiod. Publ., Moscow.","0081-5438","N","N","N"
"Proc. Sympos. Appl. Math.","Proceedings of Symposia in Applied Mathematics","","Amer. Math. Soc., Providence, RI.","0160-7634","N","N","Y"
"Proc. Sympos. Pure Math.","Proceedings of Symposia in Pure Mathematics","","Amer. Math. Soc., Providence, RI.","0082-0717","N","N","Y"
"Prog. Comput. Fluid Dyn.","Progress in Computational Fluid Dynamics. An International Journal","","Indersci. Enterp. Ltd., Geneva.","1468-4349","N","N","N"
"Prog. Math. Phys.","Progress in Mathematical Physics","","Birkhauser/Springer, Cham.","","N","N","Y"
"Progr. Comput. Sci. Appl. Logic","Progress in Computer Science and Applied Logic","","Birkhauser/Springer, Cham.","2297-0576","N","N","Y"
"Progr. Math.","Progress in Mathematics","","Birkhauser/Springer, Basel.","","N","N","Y"
"Progr. Math. (Varanasi)","Progress of Mathematics","","Acad. Prog. Math., Varanasi.","0555-4330","N","N","N"
"Progr. Nonlinear Differential Equations Appl.","Progress in Nonlinear Differential Equations and their Applications","","Birkhauser/Springer, Cham.","","N","N","Y"
"Progr. Probab.","Progress in Probability","","Birkhauser/Springer, Basel.","","N","N","Y"
"Program. Comput. Softw.","Programming and Computer Software","","Pleiades Publishing, Ltd., Road Town.","0361-7688","N","N","N"
"Programmirovanie","Rossiiskaya Akademiya Nauk. Programmirovanie","","``Nauka'', Moscow.","0132-3474","N","N","N"
"Proyecciones","Proyecciones. Journal of Mathematics","","Univ. Catol. Norte, Antofagasta.","0716-0917","N","Y","N"
"Pseudo Diff. Oper.","Pseudo-Differential Operators. Theory and Applications","","Birkhauser/Springer, Cham.","","N","N","Y"
"Psychometrika","Psychometrika","","Springer, New York.","0033-3123","N","N","N"
"PTEP. Prog. Theor. Exp. Phys.","PTEP. Progress of Theoretical and Experimental Physics","","Oxford Univ. Press, Oxford.","2050-3911","Y","N","N"
